coursecode,name,department,prereqcode,coreqcode
COP 3530,Data Structures and Algorithm,Computer & Info. Science & Eng.,COT 3100; MAC 2234; MAC 2312; MAC 3473,
COP 4020,Programming Language Concepts,Computer & Info. Science & Eng.,COP 3530,
COP 4331,Object-oriented Programming,Computer & Info. Science & Eng.,COP 3530,
COP 4533,Algorithm Abstraction and Design,Computer & Info. Science & Eng.,COP 3530,
COP 4554,Programming Language Inquiry,Computer & Info. Science & Eng.,COP 3503C,
COP 4600,Operating Systems,Computer & Info. Science & Eng.,CDA 3101; COP 3530,
COP 4620,Translators and Translator Writing Systems,Computer & Info. Science & Eng.,COP 3530,
COP 4720,Information and Database Systems 2,Computer & Info. Science & Eng.,CIS 4301; COP 3530,
COT 3100,Applications of Discrete Structures,Computer & Info. Science & Eng.,MAC 2311; MAC 3472; COP 3502C,COP 3504; COP 3503
COT 3502,Computational Methods for Chemical Engineers,Chemical Engineering,COP 2273; MAP 2302; MAC 2313,
COT 4501,Numerical Analysis: a Computational Approach,Computer & Info. Science & Eng.,MAS 3114,
CWR 3201,Hydrodynamics,Civil & Coastal Engineering,MAP 2302; EGM 2511,
CWR 4202,Hydraulics,Civil & Coastal Engineering,CWR 3201,
CWR 4306,Urban Stormwater Systems Design,Civil & Coastal Engineering,,CWR 4202
CWR 4542,Water Resources Engineering,Civil & Coastal Engineering,CWR 4202,
EAS 2011,Introduction to Aerospace Engineering,Mechanical & Aerospace Engineering,PHY 2048; PHY 2060,
EAS 4101,Aerodynamics,Mechanical & Aerospace Engineering,EAS 2011; EGN 3353C; COP 2271; EML 3100; MAC 2313; MAP 2302,
EAS 4132,Compressible Flow,Mechanical & Aerospace Engineering,EAS 4101; EGN 3353C,
EAS 4200,Aerospace Structures,Mechanical & Aerospace Engineering,EGM 3520,
EAS 4240,Aerospace Composites,Mechanical & Aerospace Engineering,EGM 3520,
EAS 4300,Aerospace Propulsion,Mechanical & Aerospace Engineering,EAS 4132,
EAS 4400,Stability and Control of Aircraft,Mechanical & Aerospace Engineering,EAS 4101; EML 4312,
EAS 4412,Dynamics and Control of Space Vehicles,Mechanical & Aerospace Engineering,MAP 4305; MAP 5304,
EAS 4510,Astrodynamics,Mechanical & Aerospace Engineering,EGM 3401; MAP 4305; MAP 5304,
EAS 4530,Space Systems Design,Mechanical & Aerospace Engineering,EAS 4510,
EAS 4700,Aerospace Design 1,Mechanical & Aerospace Engineering,EAS 4510; EML 4312; EGM 3520,
EAS 4710,Aerospace Design 2,Mechanical & Aerospace Engineering,EAS 4101; EAS 4400; EGM 3520,
EAS 4810C,Aerospace Sciences Lab and Design,Mechanical & Aerospace Engineering,EAS 4101; EAS 4132; EML 3301C,
EAS 4905,Individual Study in Aerospace Engineering,Mechanical & Aerospace Engineering,,
EAS 4912,Integrated Product and Process Design 1,Mechanical & Aerospace Engineering,EAS 4101; EGM 3520; EML 3301C,
EAS 4913,Integrated Product and Process Design 2,Mechanical & Aerospace Engineering,EAS 4912,
EAS 4939,Special Topics in Aerospace Engineering,Mechanical & Aerospace Engineering,,
EAS 4949,Co-op Work Experience,Mechanical & Aerospace Engineering,,
ECH 2934,Professional Development of Chemical Engineers,Chemical Engineering,,
ECH 3023,Material and Energy Balances,Chemical Engineering,CHM 2045; CHM 2095; CHM 2050; MAC 2312; PHY 2048,CHM 2046; CHM 2096; CHM 2051; MAC 2313; MAP 2302; ECH 2934
ECH 3101,Process Thermodynamics,Chemical Engineering,COP 2273; ECH 3023,COT 3502
ECH 3203,Fluid and Solid Operations,Chemical Engineering,COT 3502; ECH 3264,
ECH 3223,Energy Transfer Operations,Chemical Engineering,COT 3502; ECH 3264,
ECH 3264,Elementary Transport Phenomena,Chemical Engineering,ECH 3023; MAP 2302; MAC 2313,
ECH 4123,Phase and Chemical Equilibria,Chemical Engineering,ECH 3101,
ECH 4224L,Fluid and Energy Transfer Operations Laboratory,Chemical Engineering,ECH 3101; ECH 3203; ECH 3223; STA 3032; STA 2023,ECH 4714; ENC 2256
ECH 4323,Process Control Theory,Chemical Engineering,COT 3502,ECH 4323L
ECH 4323L,Process Control Laboratory,Chemical Engineering,COT 3502,ECH 4323
ECH 4403,Separation and Mass Transfer Operations,Chemical Engineering,ECH 3101; ECH 3203; ECH 3223,
ECH 4404L,Separation and Mass Transfer Operations Laboratory,Chemical Engineering,ECH 4403; ECH 4224L; ECH 4714,
ECH 4504,Chemical Kinetics and Reactor Design,Chemical Engineering,ECH 3264; ECH 4123,
ECH 4524,Heterogeneous Chemical Kinetics Reactor Design,Chemical Engineering,ECH 4504,
ECH 4604,Process Economics and Optimization,Chemical Engineering,ECH 3203; ECH 3223,ECH 4403
ECH 4644,Process Design,Chemical Engineering,ECH 4403; ECH 4504; ECH 4604; ECH 4824,
ECH 4714,Chemical Process Safety,Chemical Engineering,ECH 3101; ECH 3203; ECH 3223,
ECH 4742,Bioprocess Engineering and Bioseparations,Chemical Engineering,BME 2402,
